CodigoEmpresa;Anio;Mes;EmpleadosTotal;AltasDelMes;TotalBrutoTodos;TotalBrutoAltas
48277;2023;7;9;1;17367.43;675.36
24230;2023;7;6;0;23653.12;0
115;2023;7;4;0;35428.85;0
40531;2023;7;1;0;3919.72;0
48645;2023;7;8;1;17673.86;630.33
45745;2023;7;7;1;48800;8166.67
48182;2023;7;7;0;21483.7;0
35308;2023;7;1;0;6016.09;0
35936;2023;7;1;0;9517.88;0
33672;2023;7;2;0;12693.55;0
45493;2023;7;2;0;16552.55;0
45104;2023;7;3;0;21013.33;0
48688;2023;7;5;0;0;0
27679;2023;7;1;0;2333.32;0
39341;2023;7;3;0;20984.78;0
47533;2023;7;1;0;4333.33;0
41679;2023;7;2;0;9545.89;0
46842;2023;7;1;0;4390.66;0
47937;2023;7;1;0;1130.46;0
47673;2023;7;1;0;2035.39;0
48910;2023;7;1;0;445.97;0
44271;2023;7;1;1;1309.45;0
38787;2023;7;1;0;1095.24;0
48182;2023;7;1;0;990.53;0
33240;2023;7;1;0;699.11;0
39341;2023;7;1;0;380;0
47686;2023;7;2;0;4000;0
47676;2023;7;1;0;2650;0
46615;2023;7;1;0;1406.81;0
25861;2023;7;1;0;898.39;0
47000;2023;7;1;0;600.02;0
33240;2023;7;1;0;366.67;0
47315;2023;7;1;0;0;0
48210;2023;7;1;0;389.63;0
48910;2023;7;4;0;2372.91;0
47686;2023;7;1;3;210.4;210.4
47532;2023;7;2;0;823.72;0
47558;2023;6;4;0;1260;0
45493;2023;6;2;0;16552.55;0
39431;2023;6;2;0;1317.25;0
44271;2023;6;11;0;41945.1;0
47074;2023;6;1;0;7934.45;0
33812;2023;6;4;0;5544.48;0
99999;2023;6;1;0;0;0
37592;2023;6;2;0;35291.66;0
47442;2023;6;1;0;1967.72;0
36051;2023;6;1;0;23820.54;0
41962;2023;6;3;0;1416.67;0
42438;2023;6;5;0;1094.62;0
38600;2023;6;1;0;5508.23;0
47701;2023;6;1;0;4000;0
31584;2023;6;3;0;5071.43;0
48483;2023;6;11;0;16883.86;0
46022;2023;6;6;0;58341.61;0
36217;2023;6;6;0;1766.29;0
37902;2023;6;1;0;2702.97;0
47588;2023;6;15;0;27998.71;0
40687;2023;6;1;0;8145.99;0
43404;2023;6;1;0;3751.99;0
47176;2023;6;11;1;17258.5;900
42222;2023;6;1;0;6766.67;0
41941;2023;6;16;0;141576.26;0
48183;2023;6;17;0;21705.12;0
37475;2023;6;2;0;2794.61;0
45591;2023;6;2;0;8500;0
47877;2023;6;7;0;24126.66;0
40531;2023;6;1;0;3919.72;0
46442;2023;6;1;0;7523.26;0
46616;2023;6;8;1;14559.09;833.33
46773;2023;6;4;0;7227.08;0
48302;2023;6;1;0;7660;0
48605;2023;6;15;0;14805.35;0
34268;2023;6;3;0;6200;0
26550;2023;6;1;0;6670.54;0
41649;2023;6;2;0;333.34;0
27415;2023;6;2;0;2269.02;0
38335;2023;6;1;0;3333.33;0
37364;2023;6;2;0;6233.23;0
47181;2023;6;8;0;20255.01;0
6716;2023;6;1;0;1724.14;0
46661;2023;6;2;0;13939.48;0
38114;2023;6;7;0;14601.65;0
47383;2023;6;1;0;27600;0
37157;2023;6;3;0;10412.14;0
42022;2023;6;50;0;280475.84;0
48024;2023;6;15;0;19773.68;0
48100;2023;6;1;0;6666.67;0
21515;2023;6;1;0;3275;0
46550;2023;6;1;0;3820;0
47675;2023;6;8;1;8280.54;380
47182;2023;6;2;0;762.22;0
47535;2023;6;10;0;9674.59;0
23095;2023;6;17;0;65148.75;0
46521;2023;6;2;0;3928.57;0
29066;2023;6;1;0;5400;0
47262;2023;6;2;0;10083.33;0
30999;2023;6;3;0;6593.04;0
39902;2023;6;13;0;84141.64;0
42851;2023;6;3;0;11092.75;0
48950;2023;6;9;1;16249.78;540.29
36472;2023;6;1;0;5336.05;0
24429;2023;6;3;0;14388.75;0
46294;2023;6;1;0;2354.14;0
46624;2023;6;1;0;0;0
38787;2023;6;13;0;28253.74;0
47773;2023;6;3;0;4568.43;0
35130;2023;6;1;0;3916.66;0
47937;2023;6;11;1;16719.4;205.65
38210;2023;6;1;0;10016.66;0
25716;2023;6;1;0;2401.43;0
47315;2023;6;4;0;20478.95;0
47671;2023;6;9;0;8962.52;0
115;2023;6;4;0;33595.59;0
48210;2023;6;12;0;19519.87;0
47533;2023;6;1;0;4333.33;0
46783;2023;6;1;0;9577.81;0
47686;2023;6;15;2;21931.55;94.69
35308;2023;6;1;0;6016.09;0
47514;2023;6;9;0;17215.2;0
25861;2023;6;3;0;6205.01;0
43367;2023;6;1;0;34993.07;0
41339;2023;6;3;0;321.54;0
43319;2023;6;1;0;2200;0
46842;2023;6;1;0;24222.43;0
41679;2023;6;2;0;9174.48;0
44167;2023;6;4;0;11870.83;0
47515;2023;6;6;0;7104.52;0
24230;2023;6;6;0;23953.12;0
43660;2023;6;8;0;79687.17;0
48894;2023;6;3;2;9083.34;6166.67
46615;2023;6;10;0;10814.45;0
32179;2023;6;3;0;25727.05;0
45096;2023;6;13;0;33766.67;0
47676;2023;6;6;0;10422.55;0
27679;2023;6;1;0;2333.32;0
14438;2023;6;1;0;845.52;0
47000;2023;6;8;1;9866.32;92.3
46788;2023;6;6;0;426.12;0
36102;2023;6;2;0;18584.67;0
33672;2023;6;2;0;12693.55;0
47152;2023;6;6;0;2171.04;0
48208;2023;6;1;0;9583.33;0
43405;2023;6;3;0;8916.67;0
44168;2023;6;8;0;26261.5;0
39341;2023;6;7;0;22444.04;0
37764;2023;6;1;0;10650;0
47498;2023;6;12;1;20947.12;519.51
45104;2023;6;6;0;21013.33;0
55560;2023;6;2;0;3660.92;0
42880;2023;6;4;0;20416.67;0
1;2023;6;1;0;3932.32;0
28644;2023;6;6;0;9793.46;0
46207;2023;6;6;0;35783.36;0
3721;2023;6;4;0;38377.6;0
48687;2023;6;3;0;0;0
33240;2023;6;7;1;34990.42;2566.67
43149;2023;6;3;0;5008.08;0
37462;2023;6;3;0;6646.27;0
49005;2023;6;7;0;0;0
47530;2023;6;3;0;5568.1;0
46611;2023;6;7;0;15415;0
42460;2023;6;3;0;10643.23;0
37807;2023;6;1;0;5034.33;0
47162;2023;6;2;0;27142.23;0
47677;2023;6;8;0;8501.86;0
47674;2023;6;7;0;13733.57;0
47297;2023;6;3;0;4100;0
36909;2023;6;16;0;190228.49;0
42508;2023;6;2;0;8000;0
48645;2023;6;7;0;18499.63;0
48686;2023;6;2;0;4449.34;0
40767;2023;6;2;0;2083.33;0
38460;2023;6;2;0;22341.81;0
48277;2023;6;8;0;16238.73;0
42736;2023;6;2;0;5899.26;0
44863;2023;6;5;0;1286.25;0
44721;2023;6;2;1;8711.11;3111.11
47757;2023;6;9;0;15116.27;0
30886;2023;6;5;0;10835.81;0
38706;2023;6;4;0;16679.11;0
48688;2023;6;5;1;0;0
42830;2023;6;1;0;5853.42;0
35936;2023;6;1;0;9517.88;0
48182;2023;6;8;1;18947.38;216.46
32424;2023;6;6;0;16686.35;0
47673;2023;6;10;0;10963.64;0
41200;2023;6;6;0;9094.49;0
46031;2023;6;5;2;40660.01;15000
37254;2023;6;58;0;333372.15;0
48910;2023;6;17;0;26116.56;0
47532;2023;6;9;0;18476.49;0
37666;2023;6;3;0;25000.01;0
44075;2023;6;1;0;5848.02;0
47825;2023;6;1;0;8383.33;0
23868;2023;6;2;0;3766.67;0
